split,tree_accuracy,tree_precision,tree_recall,tree_f1,tree_auc,knn_accuracy,knn_precision,knn_recall,knn_f1,knn_auc
1,0.7143,0.5773,0.6914,0.6292,0.7878,0.7576,0.6923,0.5556,0.6164,0.7872
2,0.7229,0.6604,0.4321,0.5224,0.7884,0.7403,0.6522,0.5556,0.6,0.7796
3,0.7359,0.602,0.7284,0.6592,0.7852,0.7359,0.6316,0.5926,0.6115,0.8037
4,0.7359,0.6,0.7407,0.663,0.7877,0.671,0.5263,0.6173,0.5682,0.7591
5,0.7359,0.6316,0.5926,0.6115,0.782,0.71,0.5875,0.5802,0.5839,0.7582
6,0.7532,0.875,0.3457,0.4956,0.8127,0.7273,0.65,0.4815,0.5532,0.7884
7,0.7316,0.6418,0.5309,0.5811,0.804,0.7489,0.6575,0.5926,0.6234,0.7954
8,0.6797,0.5327,0.7037,0.6064,0.7194,0.7316,0.6203,0.6049,0.6125,0.7465
9,0.7749,0.6355,0.8395,0.7234,0.8226,0.7403,0.6364,0.6049,0.6203,0.8058
10,0.7273,0.5938,0.7037,0.6441,0.824,0.7186,0.5976,0.6049,0.6012,0.7705
Mittelwert,0.7312,0.635,0.6309,0.6136,0.7914,0.7282,0.6252,0.579,0.5991,0.7794
Minimum,0.6797,0.5327,0.3457,0.4956,0.7194,0.671,0.5263,0.4815,0.5532,0.7465
Maximum,0.7749,0.875,0.8395,0.7234,0.824,0.7576,0.6923,0.6173,0.6234,0.8058
